Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1476090000.0 4006.0 41 84 199 NA NA NA NA 155 239 413 NA NA NA NA 1488 626 948 NA NA NA NA 1605 1046 1025 NA NA NA NA
1476090000.0 4008.0 44 81 193 NA NA NA NA 161 239 404 NA NA NA NA 857 172 270 NA NA NA NA 947 217 303 NA NA NA NA
1476090000.0 500199.0 113 NA NA NA NA NA NA 264 NA NA NA NA NA NA 3619 NA NA NA NA NA NA 5002 NA NA NA NA NA NA
1476090000.0 513.0 14 30 0 NA NA NA NA 184 131 0 NA NA NA NA 1514 32 13 NA NA NA NA 3729 73 23 NA NA NA NA
1476090000.0 516.0 14 30 0 NA NA NA NA 184 131 0 NA NA NA NA 1526 33 12 NA NA NA NA 3059 43 20 NA NA NA NA
1476090000.0 519.0 14 35 0 NA NA NA NA 184 132 0 NA NA NA NA 1490 32 13 NA NA NA NA 3416 42 23 NA NA NA NA
1476090000.0 521.0 14 36 0 NA NA NA NA 184 132 0 NA NA NA NA 1578 36 12 NA NA NA NA 4392 45 22 NA NA NA NA
1476090000.0 523.0 14 38 0 NA NA NA NA 184 143 0 NA NA NA NA 1439 63 10 NA NA NA NA 2130 91 38 NA NA NA NA
1476090000.0 524.0 14 32 0 NA NA NA NA 184 132 0 NA NA NA NA 1860 32 8 NA NA NA NA 2713 54 14 NA NA NA NA
1476090000.0 525.0 14 36 0 NA NA NA NA 184 132 0 NA NA NA NA 1578 37 12 NA NA NA NA 4392 46 22 NA NA NA NA
1476090000.0 527.0 14 32 0 NA NA NA NA 184 132 0 NA NA NA NA 1853 35 8 NA NA NA NA 2587 55 12 NA NA NA NA
1476090000.0 528.0 14 28 0 NA NA NA NA 184 132 0 NA NA NA NA 1414 24 9 NA NA NA NA 3384 39 19 NA NA NA NA
1476090000.0 554.0 14 29 0 NA NA NA NA 184 131 0 NA NA NA NA 3490 24 7 NA NA NA NA 4403 36 23 NA NA NA NA
1476090000.0 6.0 NA 84 189 0 NA NA NA NA 239 391 0 NA NA NA NA 1720 709 526 NA NA NA NA 2013 921 543 NA NA NA
1476090000.0 8.0 NA 74 103 38 0 NA NA NA 232 271 145 0 NA NA NA 1811 381 11 117 NA NA NA 2001 426 55 123 NA NA
